Model,Fold,Accuracy,F1 (macro),F1 (weighted),Cohen κ
cnn_bilstm,0,0.8572895277207392,0.8056771931406848,0.8595557987518374,0.8144880113839954
cnn_bilstm,1,0.8871749669457911,0.8553367790726281,0.8898364641475159,0.8340558308607291
cnn_bilstm,2,0.8505461767626614,0.8399596103759659,0.8488367533292441,0.7909533369794386
cnn_bilstm,3,0.8681497558328811,0.8076050576475623,0.8777178947208418,0.8128692430056146
cnn_bilstm,4,0.843064182194617,0.8227099063649632,0.847529578700902,0.7815402938621197
cnn_bilstm,5,0.8861959957850368,0.8567040152212373,0.894757073977409,0.8450077445467767
cnn_bilstm,6,0.9010331702011963,0.8792802731857963,0.9028524856939915,0.8651755185959802
cnn_bilstm,7,0.9098250336473755,0.8638737608651486,0.9071576800515245,0.8805677993775533
cnn_bilstm,8,0.8150369003690037,0.7189197423206319,0.8053693998036925,0.7560120106905137
cnn_bilstm,9,0.8263419034731619,0.7745938629089746,0.8372157323843202,0.7528472465131147
cnn_bilstm,10,0.8722426470588235,0.7732609517167542,0.8837960082592711,0.7980270402197728
cnn_bilstm,11,0.6380116959064327,0.6225413965139129,0.663126971611757,0.5176091416779613
cnn_bilstm,12,0.7869586859133898,0.74308586656806,0.7975220156641363,0.7144196090661474
cnn_bilstm,13,0.8487229862475442,0.8089986351072513,0.8561477078727054,0.7927488812654094
cnn_bilstm,14,0.9111570247933884,0.8245721386755965,0.919452470173895,0.878405370448947
cnn_bilstm,15,0.9172234595397178,0.839572597251502,0.9179801492294191,0.8878402810293956
cnn_bilstm,16,0.7889045604137283,0.7378467998155356,0.8121911895354956,0.7150787437751426
cnn_bilstm,17,0.7346642468239565,0.6473445972474513,0.7388106446816087,0.6482071518283086
cnn_bilstm,18,0.8133047210300429,0.785840538718128,0.8209940291044625,0.757361027364364
cnn_bilstm,19,0.864467551093582,0.8016080776907029,0.8678660124653375,0.8102227228984111
conformer,0,0.8649897330595483,0.809344673754104,0.8642344997632323,0.8237996548382148
conformer,1,0.8585279858968708,0.8204190866180487,0.8634080468398558,0.7946416437487911
conformer,2,0.82025819265144,0.7965943790052515,0.8147013957369122,0.7531444901165428
conformer,3,0.8676071622354856,0.8118758711289157,0.8769379031798226,0.8122013260985499
conformer,4,0.8182194616977225,0.8009209362314526,0.825784081180698,0.7497821005997809
conformer,5,0.8819810326659642,0.8370032130600153,0.8851713288910548,0.8378894885468882
conformer,6,0.8879825992387167,0.8622013287925661,0.891295225810805,0.8472973697438108
conformer,7,0.9026469268730373,0.8541169850089194,0.9001101461794933,0.8720485698701104
conformer,8,0.8071955719557196,0.72559941462266,0.799559598405932,0.7468528542269174
conformer,9,0.8367162832656744,0.7889663571700031,0.8419833470295216,0.7677510203798151
conformer,10,0.8566176470588235,0.7563737411210935,0.8727355665508911,0.7775801912599635
conformer,11,0.6216374269005848,0.5874580401567943,0.6410446521360985,0.5016050518364621
conformer,12,0.75311100049776,0.734411345921755,0.7654269376163564,0.6744704031779893
conformer,13,0.843811394891945,0.8141338700431486,0.8553341679606572,0.787971674015389
conformer,14,0.9214876033057852,0.8461252659469227,0.9262828210200933,0.8922851556065732
conformer,15,0.9190794357832219,0.8475979466534156,0.9198701238120964,0.890620113992789
conformer,16,0.7950164551010813,0.7475588219832857,0.8227181428428777,0.7279636256966853
conformer,17,0.6754990925589837,0.5984200943600751,0.6788039384502471,0.5774689205134389
conformer,18,0.7886266094420601,0.7467612647795322,0.7933582379715299,0.7248557997065792
conformer,19,0.8630333452850484,0.8039251622900861,0.8658267691372387,0.8089088394445612
